﻿total=1044
member	肢；成员
mêler	混合；弄乱
se mêler	混合；混入
alarmant ,e	令人惊慌的，令人不安的
alarmer	发警报；使惊慌，使不安
alarme	警报
album	影集；专辑
alcool	含酒精的饮料
cadet,ette	小的，年幼的；最小的孩子
cadeau	礼物
citer	引用，提到，提及
manger	吃
manier	使用，运用，操作
manière	方式，方法，风格
jardin	花园，公园
itinéraire	行程，路线
ennemi ,e	敌人
ennuyer	使烦恼，使厌倦
énoncer	陈述，发表，说明
tente	帐篷
tenter	试图；尝试
nouveau	新的
à nouveau	重新
recommencer à nouveau	重新开始
de nouveau	重又
collège	中学。学院
collègue	同事，同行
débouché	出口，销路 
mélanger	混合，搞乱
mélange	混合，混合物
bandit	强盗，匪徒
banlieue	郊区
bannir	放逐，驱逐出境
signifier	表示，意味着
signe	首饰，象征，征兆
déboucher	疏通。开通，拔塞子
fragile	脆的，易碎的
fragment	碎片；片段；章节
bureau,x	书桌，办公室，事务所
consulat	领事馆
pancarte	告示牌
annonce	通知
affiche	广告
panneau,x	指示牌，路标
loup	狼，伪善的人
coupure	割破的伤口；小额的纸币
billet	便条
emploi	职业，职位
bêtise	愚蠢，糊涂
à l'abri de	躲避，在...的遮掩下
à l'issue de	结束后，完成时
à noter que	要注意到
centriste	中间派的
cérémonie	仪式，典礼
certes	的确
à part	除...以外
artiste	艺术家
artistique	艺术的
ascenseur	电梯
chat	猫
chaussée	马路
chef de rang	高级厨师
dépendre	取决于；依赖于
dépendant	依赖的
département	部门；系；处
démission	辞职；放弃
demeurer	居住；停留；依然是
pivot	轴；枢纽；主心骨
pizza	比萨饼
placement	安置；销售；投资
placer	安防；安置
plage	海滩
planète	行星
vacancier ,ère	度假的人
vague	模糊的，朦胧的
vallée	山谷；河谷
frais	费用；开支
frais,fraîche	新鲜的，凉爽的
arriver	到达
arrivée	到达
délicatement	精致地；微妙地
déguster	品尝，品味
ultra	最上等的，极端的
univers	宇宙，世界
universitaire	大学的
urbain ,e	城市的
ustensile	用具，器皿
chien de mer	鲨鱼
chiper	偷盗
chômage	失业
encourager	鼓励；激励
encre	墨水
encrier	墨水瓶
ride	皱纹；波纹；涟漪
rideau	窗帘，幕
transpirer	出汗，流汗；（书） 泄露，走漏
venir sur	加油
dévorer	吞食，贪婪地吃；耗尽
compliment	道贺，祝词
compliquer	使复杂化
orient	东方，东方国家
Oriental,e	东方的，东方国家的
orientation	定位，方向
orienter	指引，指导
saisir	抓住；理解，领会
baie	海湾
bain	洗澡，游泳
distraire	使分心
encadrer	装以框子；环绕；围绕
encaissé ,e	库存的，入库的
encart	插页，附页
ail	大蒜
aile	翅膀，机翼
ailleurs	别处，它处
bon,bonne	好的
bonbon	糖果
bondé .e	塞满的，充满的
enchaîné ,e	连贯的
enchanté	喜悦的，高兴的
enchère	（拍卖时出高价）
regard	眼神
au regard de	在...眼中，就...而言
aujourd'hui	今天
aumône	施舍，恩惠
stade	体育场
stage	培训期，实习期
station	车站
stationnement	停留，停车
stationner	停留，停车
animation	生气勃勃，活跃
animé ,e	活泼的，生动的
anneau	环，戒指
baiser	吻，接吻
baisser	放下
distinguer	区分
distinction	区分，辨别
distingué ,e	优雅的，高贵的
baigner	洗澡；流经；浸透
se baigner	洗澡；游泳
baignade	洗澡，浴场
baignoire	浴缸
économe	经济的，节约的
économie	经济，经济学
économique	经济的，便宜的
économiser	节省，储蓄
économiste	经济学家
gronder	低沉的嚎叫；责备，斥责
grossier ,ère	粗俗的，粗劣的
grossir	变胖，增加
nu,e	赤身的，光秃秃的
nuire	损害，危害；妨碍
encombrer	阻塞；充满
enceinte	怀孕的人
encens	（供焚烧的）香，奉承
encenser	向...奉香
encensoir	香炉
juteux, euse	多汁的
bête	兽，牲口
théâtre	剧院
panier	篮子，球篮
gendarme	宪兵，警察
acrobate	杂技演员，高手，老手
tigre	老虎
roulant	滚动的，有轮子的
pompe	抽水机，泵
panne	故障，抛锚
moineau	麻雀
lapin	兔
génial	奇妙的，天才的，绝妙的
enveloppe	包裹物，包皮
crocodile	鳄鱼
chasser	打猎；驱逐；赶走
laine	羊毛；毛织品
laisser	留下；允许；让
lait	奶
record	最高纪录
recourir	再跑；重新跑
envers	反面，背面
chasseur	猎人
à bientôt	再见
à cause de	因为，由于
à ce moment	在此刻
à côté de	在...旁边
à distance	隔一段距离
à fond	完全地，彻底地
à gauche	在左边
à l'exclusion de	...除外
abaisser	放低，放下；降低，减低
abaissement	放低，下降
abandonner	废弃不用，放弃
s'abandonner	陷于，沉溺于
abandon	抛弃，放弃
abominable	可恶的；很坏的，糟透的
abondance	大量，充裕；富足
abondant ,e	丰富的，大量的
abonder	充裕，盛产
abonner	给人预约，给人预定
abonné ,e	预定的；订阅者，用户
abonnement	预定，预约
abord	接近，靠近
d'abord	首先
abordable	平易近人的；买得起的
aborder	靠近某人与其交谈；开始从事，着手
aboutir (à)	到达；通向；导致
aboyer	狗叫
abréger	缩短；删节
abrégé	摘要；简介
dû ,due	应付给的；归功于；由于
duo	二重唱
durement	严酷地；严峻地
météo	气象台；气象
méthodique	有条理的，有次序的
seau	桶，水桶
savoir	知道，记得
savant,e	博学的；学者，科学家
séance	会议，开庭；（从事某项活动的）一段时间，表演
duper	欺骗
slience	安静；沉默
sliencieux, euse	沉默的
complexe	复杂的
complexité	复杂；复杂性
complet ,ère	完全的；满的
compléter	使完全，使完整
complètement	完全地，彻底地
denrée	食品，食料
dense	浓厚的；稠密的
dent	牙齿
dentiste	牙医
gare	车站
garer	停放（车辆，船只），把（车）开进站
se garer	（车辆）停放
garage	停车场
frère	兄弟
décoller	扯下；揭下
décoller de la réalité	脱离现实
décollage	起飞
zéro	零
doter	给嫁妆；赋予；捐赠
douane	海关，关税
douanier ,ère	海关的；海关职员
double	双重的，双倍的
mener une double vie	过着一种双重生活
doublé ,e	译制的；加衬里的
doubler	超车；加快；留级；重读
doubler le pas	加快步伐
exterminer	歼灭，根除，灭绝
externe	外用的，外部的
extra	优等的，杰出的
durer	延续，持续
durant	在...期间
durée	期间，持续期间
pendant la durée	在...期间
rédiger	编写，撰写
rédacteur ,trice	编辑，编撰者
rédaction	编辑，编写
format	大小，规格，尺寸
formation	形成，构成
ébranler	震动，动摇，使感动
reconstituer	重新构成，使复原
récupérer	收回
reconnaître	认出，承认，确认
reconnaissance	感恩，感激，承认
recopier	重抄
infirme	残疾的（人）
infirmerie	医务室
infirmier,ère	护士
infirmière en chef	护士长
doucement	温和地，小心地，温柔地
chameau	骆驼
champ	田野
sur le champ	马上
fatiguer	使疲劳
fatigant ,e	累人的，令人讨厌的
fatigue	疲惫，疲倦
fatigué ,e	疲劳的
boulier	算盘
boulot	工作
chemise	衬衫
chèque	支票
cher .ère	亲爱的，昂贵的
bête	愚蠢的，可惜的，遗憾的
besoin	需要
au besoin on connaît l'ami	患难见真知
avoir besoin de faire qch	需要做某事
concret,ère	具体的，实际的
condamner	判刑，禁止，谴责
condamnation	判决，判刑，谴责
condamner qn à mort	判处某人死刑
condamné	被判刑的人
