puman	美洲狮
ransom	n.赎金
cardboard	n.硬纸板
withdraw	v.(从银行)取钱
punctually	ad.准时地
astound	v.使吃惊
pioneer	n.先驱
lord	n.对(英国)贵族的尊称；勋爵
Calais	n.加来(法国港口城市)
overland	a.陆上的
boxing	n.拳击
boxer	n.拳击手
bare	a.赤裸的；空荡的
prizefighter	n.职业拳击手(尤指古时赤手拳击手)
crudea	粗野的
marquis	n.侯爵
technically	ad.严格根据法律意义地
science	n.科学
popularity	n.名望
adore	v.崇拜，爱戴；非常喜欢
alike	ad.一样地
fame	n.名声
eminent	a.著名的，杰出的
bitterly	ad.厉害地
bet	v.打赌
academy	n.专业学校
extravagant	a.浪费的，奢侈的
poverty	n.贫困
run	v.(戏剧，电影等)连演，连映
lines	n.(剧本中的)台词
part	n.剧中的角色，台词
falter	v.支吾，结巴说
cast	v.选派……扮演角色
role	n.角色
aristocrat	n.贵族
imprison	v.关押
Bastille	n.巴士底狱
gaoler	n.监狱长，看守
colleague	n.同事
curtain	n.(舞台上的)幕布
reveal	v.使显露;泄漏
cell	n.单人监房，监号
blank	a.空白的
squint	v.眯着(眼)看，瞄
dim	a.昏暗的
sire	n.(古用法)陛下
proceed	v.继续进行
poison	n.毒药
illogical	a.不合逻辑的，无章法的
octopus	n.章鱼
delicacy	n.美味，佳肴
repulsive	a.令人反感的，令人生厌的
stomach	n.胃
turn	v.感到恶心，反胃
fry	v.油炸
fat	n.(动物、植物)油
abuse	n.辱骂，责骂
snail	n.蜗牛
luxury	n.奢侈品，珍品
associate	v.联想到
despise	v.鄙视
appeal	v.引起兴致
shower	n.淋浴
stroll	n.溜达，散步
impulse	n.冲动
dozen	n.12个，一打
fancy	v.喜爱，喜欢
skeleton	n.骷髅
seemingly	ad.表面上地
respectable	a.体面的，雅观的
conceal	v.隐藏，隐瞒
vivid	a.生动的
dramatic	a.令人激动的，扣人心弦的
ruin	v.毁坏
heroine	n.女主人公
fiction	n.小说
varying	a.不同的
medicine	n.医学
guestroom	n.(家庭中的)客房
unpack	vt.(从箱中)取出
stack	v.(整齐地)堆放，排放；n.堆
underclothes	n.内衣
drawer	n.抽屉
petrify	v.使惊呆
dangle	v.悬挂
sway	v.摇摆
unsympathetic	a.不表同情的，无动于衷的
medical	a.医学的
impressive	a.给人深刻印象的
steamship	n.蒸汽轮船
vessel	n.轮船，大木船
era	n.时期，时代
Java	n.爪哇(印度尼西亚一岛)
rudder	n.舵
roll	v.颠簸，摇摆
steer	v.掌握方向
temporary	a.临时的
plank	n.大块木板
fit	v.安装
Equator	n.赤道
delay	v./n.耽误
influence	v.影响
pride	v.骄傲
taste	n.鉴赏力;品尝
exert	v.施加
subtle	a.微妙的，难以捉摸的
advertiser	n.做广告的人
classify	v.分类
magic	a.有奇妙作用的
sample	n.样品
devise	v.设计，想出
capture	v.吸引，赢得
manufacturer	n.生产厂家，制造商
wheelbarrow	n.独轮手推车
boot	n.(汽车尾部的)行李箱
ingredient	n.配料
crane	n.起重机
anticipate	v.预期，预料
philosopher	n.哲学家
wisdom	n.智慧
priest	n.牧师
spiritual	a.精神上的
grudge	v.不愿给，舍不得给
surgeon	n.外科大夫
passer-by	n.过路人(复数passers-by)
dignity	n.尊严
deliberately	ad.故意地
consequence	n.后果，结果
afflict	v.使苦恼，折磨
ease	n.容易
nature	n.大自然
contempt	n.蔑视
envious	a.嫉妒的
wares	n.货物，商品
anchor	v.停航下锚
deck	n.甲板
silverware	n.银器
tempt	v.吸引；引诱
bargain	v.讨价还价; n.便宜货
disembark	v.下船上岸
assail	v.纠缠
marble	n.小玻璃球
inscribe	v.刻写，雕
favour	n.好处，优惠
gesticulate	v.(讲话时)打手势
outrageous	a.出人预料的；令人不悦的
